ID                          Name         Partition   Nodes   Cores   GPUs   Decl._mem   Mem._%_usage    Eff.   CPU._used   GPUtime_[h]   Wall._Used   Wall._Req.              End_Time 
11982967_43          blender-job            plgrid       1       4      0      4.0GiB           5.6%   98.8%    00:32:00            --     00:08:00     00:15:00   2024-10-15 10:55:08 
11982967_44          blender-job            plgrid       1       4      0      4.0GiB           5.5%   98.8%    00:33:24            --     00:08:21     00:15:00   2024-10-15 10:55:29 
11982967_45          blender-job            plgrid       1       4      0      4.0GiB           5.5%   98.8%    00:35:20            --     00:08:50     00:15:00   2024-10-15 10:55:58 
11982967_46          blender-job            plgrid       1       4      0      4.0GiB           5.6%   98.9%    00:37:24            --     00:09:21     00:15:00   2024-10-15 10:56:29 
11982967_47          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.2%    00:43:04            --     00:10:46     00:15:00   2024-10-15 10:57:54 
11982967_49          blender-job            plgrid       1       4      0      4.0GiB           8.0%   99.3%    00:44:00            --     00:11:00     00:15:00   2024-10-15 10:58:08 
11982967_48          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.3%    00:45:00            --     00:11:15     00:15:00   2024-10-15 10:58:23 
11982967_51          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:46:00            --     00:11:30     00:15:00   2024-10-15 10:58:38 
11982967_50          blender-job            plgrid       1       4      0      4.0GiB          30.4%   99.1%    00:46:04            --     00:11:31     00:15:00   2024-10-15 10:58:39 
11982967_52          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:47:28            --     00:11:52     00:15:00   2024-10-15 10:59:00 
11982967_54          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.1%    00:47:48            --     00:11:57     00:15:00   2024-10-15 10:59:05 
11982967_53          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:48:08            --     00:12:02     00:15:00   2024-10-15 10:59:10 
11982967_55          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:48:28            --     00:12:07     00:15:00   2024-10-15 10:59:15 
11982967_56          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.1%    00:48:52            --     00:12:13     00:15:00   2024-10-15 10:59:21 
11982967_57          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:49:00            --     00:12:15     00:15:00   2024-10-15 10:59:23 
11982967_59          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.0%    00:49:24            --     00:12:21     00:15:00   2024-10-15 10:59:29 
11982967_60          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:49:32            --     00:12:23     00:15:00   2024-10-15 10:59:31 
11982967_58          blender-job            plgrid       1       4      0      4.0GiB           5.4%   99.0%    00:49:36            --     00:12:24     00:15:00   2024-10-15 10:59:32 
11982967_61          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.0%    00:49:48            --     00:12:27     00:15:00   2024-10-15 10:59:35 
11982967_62          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.1%    00:49:48            --     00:12:27     00:15:00   2024-10-15 10:59:35 
11982967_77          blender-job            plgrid       1       4      0      4.0GiB           6.1%   99.5%    00:50:16            --     00:12:34     00:15:00   2024-10-15 10:59:42 
11982967_70          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.2%    00:50:28            --     00:12:37     00:15:00   2024-10-15 10:59:45 
11982967_71          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.1%    00:50:32            --     00:12:38     00:15:00   2024-10-15 10:59:46 
11982967_73          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:50:36            --     00:12:39     00:15:00   2024-10-15 10:59:47 
11982967_74          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.1%    00:50:36            --     00:12:39     00:15:00   2024-10-15 10:59:47 
11982967_98          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.2%    00:50:36            --     00:12:39     00:15:00   2024-10-15 10:59:47 
11982967_100         blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.3%    00:50:36            --     00:12:39     00:15:00   2024-10-15 10:59:47 
11982967_80          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.3%    00:50:40            --     00:12:40     00:15:00   2024-10-15 10:59:48 
11982967_64          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.1%    00:50:44            --     00:12:41     00:15:00   2024-10-15 10:59:49 
11982967_75          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.2%    00:50:44            --     00:12:41     00:15:00   2024-10-15 10:59:49 
11982967_81          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.3%    00:50:44            --     00:12:41     00:15:00   2024-10-15 10:59:49 
11982967_99          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.2%    00:50:52            --     00:12:43     00:15:00   2024-10-15 10:59:51 
11982967_65          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:50:56            --     00:12:44     00:15:00   2024-10-15 10:59:52 
11982967_67          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:51:04            --     00:12:46     00:15:00   2024-10-15 10:59:54 
11982967_91          blender-job            plgrid       1       4      0      4.0GiB           4.6%   99.2%    00:51:08            --     00:12:47     00:15:00   2024-10-15 10:59:55 
11982967_94          blender-job            plgrid       1       4      0      4.0GiB           6.0%   99.2%    00:51:08            --     00:12:47     00:15:00   2024-10-15 10:59:55 
11982967_68          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:51:20            --     00:12:50     00:15:00   2024-10-15 10:59:58 
11982967_83          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.1%    00:51:20            --     00:12:50     00:15:00   2024-10-15 10:59:58 
11982967_93          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:51:20            --     00:12:50     00:15:00   2024-10-15 10:59:58 
11982967_95          blender-job            plgrid       1       4      0      4.0GiB           5.9%   99.1%    00:51:20            --     00:12:50     00:15:00   2024-10-15 10:59:58 
11982967_87          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:51:24            --     00:12:51     00:15:00   2024-10-15 10:59:59 
11982967_92          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.1%    00:51:24            --     00:12:51     00:15:00   2024-10-15 10:59:59 
11982967_63          blender-job            plgrid       1       4      0      4.0GiB           4.9%   98.7%    00:51:28            --     00:12:52     00:15:00   2024-10-15 11:00:00 
11982967_84          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.2%    00:51:32            --     00:12:53     00:15:00   2024-10-15 11:00:01 
11982967_86          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:51:36            --     00:12:54     00:15:00   2024-10-15 11:00:02 
11982967_96          blender-job            plgrid       1       4      0      4.0GiB           5.9%   99.1%    00:51:36            --     00:12:54     00:15:00   2024-10-15 11:00:02 
11982967_85          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.2%    00:51:40            --     00:12:55     00:15:00   2024-10-15 11:00:03 
11982967_88          blender-job            plgrid       1       4      0      4.0GiB           4.6%   99.3%    00:51:40            --     00:12:55     00:15:00   2024-10-15 11:00:03 
11982967_97          blender-job            plgrid       1       4      0      4.0GiB           5.9%   99.1%    00:51:40            --     00:12:55     00:15:00   2024-10-15 11:00:03 
11982967_69          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.1%    00:51:44            --     00:12:56     00:15:00   2024-10-15 11:00:04 
11982967_82          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.0%    00:51:44            --     00:12:56     00:15:00   2024-10-15 11:00:04 
11982967_90          blender-job            plgrid       1       4      0      4.0GiB           4.6%   99.1%    00:52:12            --     00:13:03     00:15:00   2024-10-15 11:00:11 
11982967_79          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.4%    00:52:52            --     00:13:13     00:15:00   2024-10-15 11:00:21 
11982967_66          blender-job            plgrid       1       4      0      4.0GiB           5.5%   99.4%    00:53:16            --     00:13:19     00:15:00   2024-10-15 11:00:27 
11982967_78          blender-job            plgrid       1       4      0      4.0GiB           5.9%   98.0%    00:53:20            --     00:13:20     00:15:00   2024-10-15 11:00:28 
11982967_89          blender-job            plgrid       1       4      0      4.0GiB           5.6%   99.1%    00:54:32            --     00:13:38     00:15:00   2024-10-15 11:00:46 
11982967_72          blender-job            plgrid       1       4      0      4.0GiB           5.5%   98.4%    00:55:12            --     00:13:48     00:15:00   2024-10-15 11:00:56 
11982967_76          blender-job            plgrid       1       4      0      4.0GiB           5.5%   98.5%    00:55:56            --     00:13:59     00:15:00   2024-10-15 11:01:07
